2	43.03749
2.2	42.50731
2.4	42.04924
2.6	41.66347
2.8	41.37868
3	41.17999
3.2	41.04979
3.4	40.97014
3.6	40.92554
3.8	40.90403
4	40.89702
4.2	40.89858
4.4	40.90481
4.6	40.91329
4.8	40.92267
5	40.9324
5.2	40.94239
5.4	40.95277
5.6	40.9638
5.8	40.97566
6	40.98841
6.2	41.00187
6.4	41.01566
6.6	41.02928
6.8	41.0422
7	41.05403
7.2	41.06457
7.4	41.07375
7.6	41.08162
7.8	41.0883
8	41.09394
8.2	41.09868
8.4	41.10266
8.6	41.10601
8.8	41.10884
9	41.11122
10	41.1187
11	41.12214
12	41.12383
12.2	41.12405
12.4	41.12425
12.6	41.12443
12.8	41.12458
13	41.12472
13.2	41.12485
13.4	41.12496
13.6	41.12506
13.8	41.12515
14	41.12523
15	41.12553
19	41.12596
20	41.126
