2	40.35089
2.2	39.88675
2.4	39.5228
2.6	39.26481
2.8	39.09994
3	39.00885
3.2	38.97236
3.4	38.97406
3.6	39.00103
3.8	39.04347
4	39.09409
4.2	39.14767
4.4	39.20056
4.6	39.25034
4.8	39.29556
5	39.3355
5.2	39.36999
5.4	39.39925
5.6	39.4237
5.8	39.44391
6	39.46049
6.2	39.474
6.4	39.48496
6.6	39.49384
6.8	39.50102
7	39.50683
7.2	39.51154
7.4	39.51536
7.6	39.51846
7.8	39.521
8	39.52313
8.2	39.52476
8.4	39.52616
8.6	39.52731
8.8	39.52826
9	39.52906
10	39.5315
11	39.53264
12	39.53322
12.2	39.5333
12.4	39.53337
12.6	39.53344
12.8	39.53349
13	39.53354
13.2	39.53358
13.4	39.53363
13.6	39.53366
13.8	39.5337
14	39.53373
15	39.53384
19	39.53399
20	39.534
